offense_charge_desc,offense_freq_count
HEALTH ORD: NO FOOD SERVICE PERMIT,37
SLOWER VEHICLE FAIL TO KEEP RIGHT,36
PARKING - TAXI STAND,36
CMV - DEFECTIVE POWER STEERING SYSTEM,36
"""SKATES",36
CDL - RESTRICTION L VIOLATION,36
COAL TAR - USE BY PAVER,36
WWW - (15-5) NO MANIFEST FOR VEHICLE LOAD,36
BICYCLE - IMPROPER LEFT TURN-APPROACH,36
CDL VIOL-HAZARDOUS MATERIAL ENDORSEMENT,36
ANIMAL - FOWL PEN DISTANCE,35
EXPIRED INSPECTION STICKER  09/11,35
ZONING -  FENCE HEIGHT,35
TOW AWAY ZONE RESERVED PARKING (C,35
"""CMV- Weight Limit: Tandem Axle (5001-10",35
HAZMAT - EXCEEDED MAXIMUM QUANTITY,35
TOW AWAY ZONE RESERVED PARKING (CITY LOT),35
WSA - INEFFECTIVE FIRE EXTINGUISHER,35
OTHER CRIMINAL VIOLATION,35
PARKING IN DISABLED SPACE (SECOND OFFENSE),35
BUILDING VIOL - NO RESIDENTIAL PERMIT,35
ILLEGAL LOAD EXTENSION-OVERWIDTH,35
ZONING - SIGN HEIGHT OVER 42 FEET,35
FIRE - NO TEMPORARY PUBLIC ASSEMBLY PERMIT,35
FIRE - BURNING IN A PUBLIC PLACE,35
NMV - PASSING IN NO PASSING ZONE,35
SMOKING - WITHIN 15 FEET OF PUBLIC ENTRANCE,35
POSTED SIGN-RT/LFT TURN ONLY TURNAROUND,35
INSPECTION STICKER - EXPIRED  10/12,35
NO FLAGS ON LOAD,35
TRANSPORT LOOSE MATERIALS - BLOW/SPILL,35
FALSE STATEMENT TO OBTAIN PROPERTY OR CREDIT,34
EXPIRED INSPECTION STICKER  02/10,34
ZONING - DEVELOPMENT CONTRARY TO SITE PLAN,34
"""CMV - WEIGHT: Tandem Axle (Over 10",34
COMM VEH VIOL-NO INSPECTION 396 17,34
OBSTRUCTED VIEW,34
FAILURE TO YIELD CROSSOVER,34
NO SEAT BELT-ALLOW CHILD 4-14 YR,33
WRECKER - NO CITY REGISTRATION,33
MISUSE OF FARM PLATES,33
LEAVING SCENE OF COLLISION-FIXED OBJECT,33
CMV-TIRE VIOL-LOW TIRE PRESSURE,33
"""CMV - WEIGHT: Overall Gross Formula (5001-10",32
POSTED SIGN - 2-4PM 4-6PM,32
"""UNLAWFUL CLINGING ON SKATEBOARD",32
WINDOW TINT OR OTHER OBSTRUCTION,32
ZONING - PLACE SIGNS ON RIGHT-OF-WAY,32
USE OF ENGINE BRAKE,32
HEALTH ORD NO FOOD SERVICE PERMIT,32
CMV - WEIGHT: Single Axle (0 - 5000 lbs),32
ILLEGAL LIGHTING DEVICE,32
FAILURE TO YIELD - INTERSECTION,31
PARKING - TOW AWAY ZONE PERMIT PARKING (METER HOOD/BAG),31
GT - FRANCHISE AUTHORITY REQUIRED,31
Fire Ord. No public assembly permit,31
ZONING VIOL-PROHIBITED USES,31
DOG ORDINANCE - BARKING (CITIZEN),31
TOBACCO SALE TO UNDER 18 YRS: STATE LAW,31
GT - TAXICAB ORDINANCE-HIGHFLAGGING,31
POSTED SIGN - DO NOT ENTER-INTERSECTION,31
ZONING - NO HOTEL OPERATOR'S LICENSE,31
WATER - WATER WASTE - FAIL TO REPAIR,31
UNLAWFUL RIDING/PASSENGER,31
ANIMAL - INTERFERENCE WITH IMPOUNDMENT,30
ZONING - EXCESS VEHICLES,30
CMV - DEFECTIVE 5TH WHEEL COUPLER,30
CMV - CONCRETE TRUCK:  WEIGHT-TANDEM AXLE,30
PARKING - TOW AWAY CUSTOMER SERVICE ZONE (OVER 15 MIN),30
IPMC - NON-COMPLIANT WATER SYSTEM,30
CDL - UNAUTHORIZED PERSON TRANSPORTED,30
"""CMV - WEIGHT:  GROSS WEIGHT (LESS THAN 2",30
"""POSTED SIGN; NO LEFT",30
BICYCLE - FAILURE TO YIELD INTERSECTION,30
AIRPORT - INTERFERENCE WITH SCREENING,30
DO NOT ENTER INTERSECTION - POSTED SIGN,30
EXPIRED INSPECTION STICKER  02/11,30
CMV - DEFECTIVE FRAME,30
CMV-SUSP/SPRING ASSEMBLY,30
HEALTH - NO FOOD PERMIT-MOBILE VENDOR,30
CMV-WHEEL & RIMS,30
GT - NO VALET TAG IN VEHICLE,30
SKATES ON ROADWAY,30
DRIVER LICENSE RESTRICTIONS A & B,30
PASSENGER ZONE (UNATTENDED VEHICL,30
HAZMAT - FAILED TO SECURE LOAD,30
CDL VIOL-NO VALID CDL ISSUED BY STATE,30
BOAT - NO RUNNING LIGHTS,30
OPERATED MOTOR VEHICLE ON PARK,30
SPEEDING - STATE HIGHWAYS,29
PED. IN ROADWAY/CITY ORDINANCE,29
CMV-SUSP/TORSION BAR,29
WRONG SIGNAL OF INTENT,29
EXPIRED INSPECTION STICKER  03/10,29
"""CMV- Weight Limit: Tandem Axle (Over 10",29
WEIGHT LIMIT 34000 LBS TANDEM 0 - 6000,29
REMOVAL OF PROTECTED TREE,29
CMV - TIRE WITH INSUFFICIENT TREAD 393 75C,28
ANIMAL - FEEDING DEER,28
CDL - ALLOWING UNLICENSED DRIVER,28
MOTORCYCLE - NO VALID INSPECTION STICKER,28
NO DRIVERS LICENSE - rs073108,28
WRECKER - NO REAR TAIL LIGHTS,28
CMV - HEIGHT VIOLATION,28
SPEEDING- WORK ZONE - NO WORKERS,28
FIRE ORD - OVERCROWDING PREMISES,27
UNRESTRAINED CHILD UNDER FOUR,27
INTERFERING WITH POLICE OFFICER,27
GT - TAXI AMBER LIGHTS,27
CDL VIOL-FALSE LOG/NO LOG,27
BICYCLE - FAIL TO COMPLY SIGN NO RT/LFT,27
GT - VEHICLE SAFETY STANDARDS,27
FIREWORKS ORDINANCE,26
WEIGHT LIMIT-OVER 20000 LBS ONE AXLE,26
FIRE - NO PUBLIC ASSEMBLY PERMIT (TEMPORARY),26
CMV - DEFECTIVE EQUIPMENT -SEAT BELT,26
CMV-TIRE VIOL-EXCESS LOAD TIRE ROTATING,26
CMV - DEFECTIVE EQUIPMENT-FIRE EXTINGUISHER,26
CMV-SUSP/FAULTY UNIVERSAL BOLT,26
DRIVER'S LIC REST CODE-A NO GLASSES,26
FAILURE TO YIELD-TO VEHICLE IN INT,26
SPEEDING-30 MPH POSTED,26
HEALTH ORD - OBJECTIONABLE MATTER,26
UNLAWFUL RIDING/OPERATOR,26
CURFEW - NIGHTTIME - SUNDAY-THURSDAY,26
WSA - NO LIFE PRESERVER- UNDER AGE 13,25
NMV - NO TAILLAMPS,25
BYOB PERMIT REQUIRED,25
IMPROPER USE OF TURN SIGNAL,25
Litter:  dumping at unapproved site,25
TOW AWAY ZONE PARALLEL PARKING ON,25
WINDSHIELD TINTING - NO LABEL,25
FIRE - EXIT SIGN NOT ILLUMINATED,25
TOW AWAY PASSENGER ZONE (OVER 5 M,25
HUNTING WILD GAME WITHIN CITY LIMITS,25
IPMC - NO HOT WATER,25
NMV - RIDING BICYCLE BETWEEN VEHICLES,25
TOW AWAY ZONE RGHT WY (BTWN CRB/P,25
ANIMAL - BARKING DOG (CITIZEN),25
Other Ground Transportation Violation,25
SMOKING ORD - FAIL TO POST SIGN,25
FAILED TO IDENTIFY - FALSE REPORT,25
DRIVER'S LIC REST - PROHIBITED HOURS,25
TRANSPORT OF LOOSE MATERIALS,25
ZONING VIOL - CERTIFICATE OF OCCUPANCY,25
WATERSHED - NO RIGHT OF WAY PERMIT ON SITE,25
GT - VALET RECEIVE OR RETURN OUTSIDE AREA,25
HEALTH - DUMPING VIOLATION,25
INSPECTION STICKER - EXPIRED  11/12,25
FISHING FROM BRIDGE,25
NO HEADLIGHTS/TAILLIGHTS ON MOTORCYCLE,25
BRAKE - NO BREAKAWAY BRAKE,25
WSA - PERSONAL WATERCRAFT VIOLATION,25
SOLID WASTE - DISTURBING TRASH RECEPTICLES,25
INSPECTION STICKER - EXPIRED  05/12,25
"""CMV - WEIGHT: TANDEM AXLE (2",25
WATERSHED - Fail to follow site plan,25
UNSAFE TURN OR MOVEMENT,25
"""CMV - WEIGHT: Single Axle (5001-10",25
FAILURE TO YIELD FROM ALLEY,25
PAY STATION RECEIPT NOT DISPLAYED (MALFUNCTIONING  PAY STATION),25
EXPIRED INSPECTION STICKER  04/11,25
CAB - INSTALLMENT LESS THAN 25% OF PRINCIPAL,25
POSTED SIGN - ROAD CLOSED,25
NO MOTOR CARRIER REGISTRATION,25
NMV - NO RIGHT/LEFT/STRAIGHT - POSTED SIGN,25
INSPECTION STICKER - EXPIRED  08/12,25
REGISTRATION - FARM TRAILER PLATES VIOLATION,25
WATER REST - STAGE 2 - FAIL TO REPAIR,25
GT - IMPEDING TRAFFIC,25
WRECKER - ILLEGAL CHARGE,24
IMPROPER TURN - POSTED SIGN,24
CRIMINAL MISCHIEF-TAMPERING,24
CURFEW  NIGHTTIME (11:30 PM -  6:00 AM),24
CONSUM/POSS ALCOHOL DURING PROHIBIT HRS,24
CMV-VEH VIOL-FUEL SYSTEM,24
WRONG WAY ONE-WAY ALLEY,24
EXPIRED COMMERCIAL LICENSE,24
Disruption of Transportation,24
OCCUPATIONAL DL RESTR (DO NOT USE) CLS B,23
CDL VIOL-NO SEAT BELT-392.16(FEDERAL REG,23
DOG ORD - AT LARGE-rs03/26/07,23
CONSUMING ALCOHOL WHILE DRIVING,23
POSSESS LICENSE OF ANOTHER,23
HEALTH ORD NO FOOD MANAGER'S CERT.,23
BICYCLE - RAN FLASHING RED LIGHT,23
FAIL TO IDENTIFY - REFUSE,23
"""GAMING-CARDS",23
BICYCLE - FAILURE TO YIELD LEFT TURN,22
GLASS CONTAINER - CITY PARK,22
GUARDIAN ALLOW UNLIC DRIVER-CHILD/WARD,22
FAILURE TO YIELD AT YIELD SIGN,22
ZONING - HOME OCCUPATION PROHIBITED,22
WRECKER - FAILURE TO CARRY REQUIRED EQUIPMENT,22
CMV - WEIGHT-OVER REGISTERED 6001 - 10000 LBS,22
FAIL TO MAINTAIN FINANCIAL RESPONSIBILTY,22
CMV - OVERSIZED VEHICLE WITHOUT PERMIT,22
POSTED SIGN - FROM PRIVATE DRIVE/ALLEY,22
CMV - ID MARKS COMMERCIAL VEHICLE,22
FICTITIOUS/ALTERED INSPECTION STICKER,21
FAILURE TO YIELD-RT TURN ON RED LIGHT,21
ZONING - PROHIBITED FESTOON SIGN,21
PARKING - TOW AWAY CUSTOMER SERVICE ZONE (OVER 15 MINS),21
ZONING - IMPERVIOUS COVER,21
FAILURE TO YLD PED-CROSSWALK-NO SIGNAL,21
WRECKER - ILLEGAL REMOVAL/ATTEMPT REMOVAL,21
TOWING WITH SAFETY CHAINS - 6701D 106A,21
WRECKER ORD-NO TOW TRUCK OPERATORS LIC,21
FIRE - NO LOAD CARD POSTED,21
CMV - DEFECTIVE AIR PRESSURE GAGE,21
ZONING- NO REVISED SITE PLAN APPROVAL,21
PARKING - TOW AWAY TIME ZONE (UNMETERED) 2 HR PARKING,21
EXPIRED INSPECTION STICKER  01/10,21
FLASHING LIGHTS TO FRONT,21
ALCOHOL - POSSESSION DURING PROHIBITED HOURS,21
BICYCLE - FAILED TO RIDE IN LANE,21
DISREGARD ORDER OF SCHOOL CROSSING GUARD,21
WRECKER - EXCESS OF FULLY PREPARED FEE,21
SMOKING ORD SALE OF CIG TO MINOR (STORE),20
INSPECTION STICKER - EXPIRED  03/12,20
ZONING VIOL- LAND DEV CERT REQ OCC ZON,20
NO SEAT BELT- CHILD UNDER 8 (2ND OFFENSE),20
GT - VALET PARKED ON PRIVATE PROPERTY,20
OPERATED MOTOR VEHICLE IN PARK,20
INSPECTION STICKER - EXPIRED  09/12,20
IPMC - NON-COMPLIANT PLUMBING,20
GT - LIMOUSINE - NO TRIP TICKET,20
WATERSHED - EROSION CONTROLS WITHIN CITY,20
CMV - NOT LICENSED FOR VEHICLE TYPE,20
EXPIRED INSPECTION STICKER  05/10,20
DOG ORD - REVOKED REGISTRATION,20
SOLID WASTE -UNSANITORY CONDITION,20
WATERSHED - NO WATER QUALITY CONTROL POND,20
ALLOW MOTORCYCLE PASSENGER TO RIDE W/O HELMET,20
WWW - (15-10) FAIL TO MAINTAIN GREASE TRAP,20
RAN FLASHING RED LIGHT-PRIVATE DRIVE,20
PARKING - NON-MOTORIZED VEHICLE,20
WEIGHT LIMIT-OVER GROSS WEIGHT 80000 LB,20
EXPIRED TRAILER INSPECTION STICKER VIOL,20
CMV - FAILURE TO DISPLAY STATE INSPECTION,20
CMV - BROKEN CAB COMPONENTS,20
NMV - NO REAR REFLECTOR,20
ZONING - NO SIGN PERMIT,20
CMV - DEFECTIVE FRAME BOLTS 393 201B,20
"""CMV - WEIGHT:  TANDEM AXLE (LESS THAN 2",20
DRIVER LICENSE RESTRICTION P -TOO MANY PASSENGERS,20
WATERSHED - NO C OF C - SITE PLAN REQUIRED,20
POSSESSION OF CRIMINAL INSTRUMENT,20
EXPIRED INSPECTION STICKER  03/11,20
WATERSHED - No Detention basin/pond,20
CMV - EXCESS or  PERMITTED HOURS,20
FAILURE TO SET HANDBRAKE,20
EXPIRED INSPECTION STICKER  07/11,20
OTHER- 12-5-10 PARKING OF CERTAIN NON-MOTORIZED VEHICLES PROHIBITED,20
FAILURE TO MAINTAIN ASSURED CLEAR DISTANCE,20
STEREO AMPLIFICATION - NMV,20
BYOB OPERATE OUTSIDE HOURS OF OPERATION,20
WRECKER - IMPROPER DISPLAY ON TRUCK,20
OBSTRUCTED DRIVERS VIEW-SUNSCREEN,20
WSA - FAIL TO DISPLAY NUMBER/DECAL,20
INSPECTION STICKER - EXPIRED  02/13,20
"""CMV - WEIGHT: GROSS WEIGHT (2",20
ILLEGAL DISABLED PLACARD AT METER,20
LASER POINTER AT SAFETY OFFICER,20
POSTED SIGN - NO STOPPING,20
EXTENDING TIME BEYOND LIMIT (MOTORC,20
UNRESTRAINED CHILD UNDER TWO,20
Fail to signal intent-parked position,20
PARKING - TOW AWAY COMM SERVICE ZONE (No Markings),20
NMV - FAILURE TO YIELD ROW ALLEY,20
GT - NO IMMEDIATE HIRE SOLICTITATION,20
CMV - FAULTY STEERING MECHANISM,20
EXPIRED INSPECTION STICKER  12/09,20
CROSSING NATURAL PHYSICAL BARRIER,20
PARKING - TOW AWAY CUSTOMER SERVICE ZONE ( OVER 15 MINS),20
Speeding state work zone no workers,19
ANIMAL - ATTACK BY DANGEROUS DOG,19
Failure to Yield - U - Turn,19
TURN THROUGH PRIVATE PROPERTY,19
MISUSE OF COMBINATION PLATE,19
VENDING ORDINANCE VIOLATION,19
SPEEDING-IH 35,19
POSSESSION ALCOHOL SCHOOL GROUNDS,19
DRIVING OVER FIREHOSE,19
DOG ORD - IMPROPER RESTRAINT,19
DRIVE CENTER LANE,19
"""DISREGARD BARRICADE-6TH STREET",19
DOG ORD - BARKING (CITIZEN),18
"""CMV- Weight- Over Gross 5001-10",18
CMV-SAFE LOADING 392 9,18
ALLOW MOTORCYCLE PASSENGER NO HELMET,18
OUT OF SERVICE CONDITION-396 3 A 1,18
CMV - NO TRAILER BREAKAWAY,18
RACING,18
LICENSE PLATE: INVALID REGISTRATION,18
DEFECTIVE EXHAUST - NO MUFFLER,18
TOBACCO SALE MINOR - CITY ORD.,18
NOISE AFTER 10:30PM,17
HEALTH ORD DIST CONTENTS OF CONTAINERS,17
DEFECTIVE CLEARANCE LAMPS,17
FAILURE TO SECURE TAILGATE,17
MANIFESTATION PROSTITUTION,17
FIRE ORD - BURNING IN PUBLIC PLACES,17
DEALER PLATE MISUSED BY DRIVER,17
FIRE ORD. - LOCKED EXIT DOOR,17
DISREGARD RAILROAD CROSSING DEVICE,17
FIRE ORD - FAIL TO ABATE FIRE HAZARD,17
DROVE IN CENTER LANE-PASSING,17
NO INSPECTION STICKER/EXPIRED,17
PARKING - TOW AWAY PASSENGER ZONE (UNATTENDED VEHICLE),17
"""CMV- Weight- Over Gross-Over 10",17
IMPROPER USE OF LIGHTS,17
Removal of Protected Tree,17
SMOKING - SELLING TO MINORS - STORE,17
CMV- Weight- Over Gross 0 - 5000 lbs.,17
WRECKER - FAILURE TO REMOVE DEBRIS,17
POSTED SIGN-LANE END MERGE R/L,17
CMV-HAZARD LIGHTS 393 19,17
"""ZONING - HOME OCCUPATION-NOISE",17
FIREARM ACCESSIBLE TO CHILD,17
"""SKATEBOARD",17
ILLEGAL LOAD EXTENSION-OVERHEIGHT,16
CDL - NO TANK ENDORSEMENT,16
WRECKER - FULLY PREPARED TRANSPORT FEE,16
Smoking Ord-Ashtrays,16
WATERSHED VIOLATION - DEVELOPMENT NO SITE PLAN,16
ANIMAL - ROADSIDE SALES,16
SPEEDING-PEDESTRIAN ZONE,16
ANIMAL - DOG / CAT UNREGISTERED,16
MOTORCYCLE - MIRROR VIOLATION,16
WWW - UNAPPROVED DISPOSAL OF LIQUID WASTE (15-10),16
WRONG SIDE OF RD-WITH 100 FEET OF INTERS,16
RAN RED LIGHT - FROM PRIVATE DRIVE,16
GT - SUPPLEMENTAL VEHICLE PERMIT,16
EXPIRED INSPECTION STICKER  12/10,16
POSTED SIGN-NO THRU TRUCKS,16
DOG/CAT NO CURRENT RABIES,16
DISREGARD BARRICADE - WORKERS PRESENT,16
GT - NO LUGGAGE BARRIER,16
CMV-OPERATING WITHOUT PROPER REGISTRATION,16
DRIVER'S LIC REST - CODE P - TOO MANY PASSENGERS,16
ZONING - FAIL TO COMPLY WITH BUILDING AND STANDARDS COMM.,16
PLUMBING - FAIL TO OBTAIN PERMIT,16
GT - OPER W/O VALID PERMIT-LIMO/TOUR,16
AIRPORT - VEHICLES AWAITING SPACE,16
DOG ORD - UNREGISTERED,16
CMV - DEFECTIVE BRAKES ON TOWING VEHICLE,15
DEALER - FAILED TO KEEP RECORDS,15
REGISTRATION FOR DIFFERENT VEHICLE,15
SPEEDING-MOPAC/LOOP 1,15
EXPIRED INSPECTION STICKER  01/12,15
R.O.W. - PERMIT VIOLATION,15
BUILDING CODE- COMMERCIAL STOP WORK ORDER,15
ANIMAL - KILLING OR INJURING A BIRD OR FOWL,15
INSPECTION STICKER - EXPIRED  03/13,15
NMV - IMPROPER LEFT TURN - APPROACH,15
NMV - PROHIBITED BY POSTED SIGN,15
WRECKER - NO CAB CARD,15
WRECKER - SOLICITING BUSINESS FROM COLLISION SCENE,15
Noisy Animal,15
INSPECTION STICKER - EXPIRED  07/12,15
ANIMAL - LIVESTOCK AT LARGE,15
HEALTH ORD - NO FOOD MANAGER'S CERT.,15
GT - VEHICLE INTERIOR CONDITIONS,15
Failure to Obtain a Public Assembly Permit (Temporary),15
CMV - NO SEAT BELT,15
BRAKE VIOL - LOW PRESSURE WARN DEVICE,15
EXPIRED INSPECTION STICKER  12/11,15
EXPIRED INSPECTION STICKER  11/10,15
EXPIRED INSPECTION STICKER  05/11,15
BOAT - FLOODING BAN VIOLATION,15
NMV - FAIL TO COMPLY SIGN NO RIGHT/LEFT TURN,15
MOTORCYCLE-NO VALID INSPECTION STICKER,15
METAL RECYCLER FAILED TO REPORT,15
IPMC - INTERIOR STRUCTURE NOT MAINTAINED,15
PARKING - COMMERCIAL SERVICE ZONE (NO MARKINGS),15
GT -TAXI CHARGE UNAPPROVED RATE OF FARE,15
R.O.W. - BULKY ITEMS ON R.O.W.,15
CAM - NO DOT CAB CARD (REGISTRATION),15
INSPECTION STICKER - EXPIRED  07/10,15
INSPECTION STICKER - EXPIRED  12/11,15
ZONING - PROHIBITED HOME OCCUPATION - OWNER,15
DEALER - ALLOWING MISUSE OF BUYER PLATE,15
WSA - NUMBER OF LIFE PRESERVERS,15
RESIDENTIAL PERMIT PARKING,15
ZONING - RESTAURANT FAILED TO PRODUCE DOCUMENTS,15
DRIVER'S LIC REST - CODE R,15
RAN FLASHING RED LIGHT - PRIVATE DRIVE,15
R.O.W. - NOT RETURNED TO ORIGINAL CONDITION,15
EXPIRED OPERATORS LICENSE  08/10,15
INSPECTION STICKER - EXPIRED  11/11,15
EXPIRED INSPECTION STICKER  11/11,15
EXPIRED INSPECTION STICKER  09/09,15
"""CMV - WEIGHT - Overall Gross Formula (Over 10",15
"""CURFEW-NIGHT-AREAS 1",15
DISPLAYED FIREARM - STATE LAW,15
R.O.W. - STRUCTURE/IMPROVEMENT IN R.O.W.,15
BUILDING CODE- STOP WORK ORDER VIOLATED,15
BOAT - WATERCRAFT-HOLIDAY WEEKENDS,15
NMV - OVERLOADED BICYCLE,15
DRIVER LICENSE RESTRICTION R,15
WRECKER - ILLEGAL TOW FROM PUBLIC ROAD,15
WATERSHED - CRITICAL ENVIRONMENTAL FEATURE,15
NMV - FAILURE TO YIELD ROW AT STOP SIGN,15
Passenger Vehicle Exceeded Maximum Width,15
PARKING - OTHER - LAW ENFORCEMENT ZONE,15
PLUMBING - FAILED TO OBTAIN PERMIT,15
NMV - NO HELMET WHILE ON BICYCLE,15
INSPECTION STICKER - EXPIRED  04/12,15
INSPECTION STICKER - EXPIRED  10/11,15
BICYCLE - IMPROPER RIDING,14
FAILURE TO GIVE SIGNAL OF INTENT TO TURN,14
DOG UNRESTRAINED,14
POSTED SIGN - BUS ONLY,14
CMV - AXLE RUBBING AGAINST PITMAN ARM,14
MOTOR CARRIER SAFETY REG $70,14
PARKING - IN A FRONT OR SIDE YARD,14
EXPIRED INSPECTION STICKER  08/09,14
SPEEDING - 55 MPH,14
SPEEDING-CONSTRUCTION ZONE -NO WORKERS,14
FAILURE TO PROCEED SAFELY AT RR CROSSING,14
WATERSHED VIOL-DISREGARD WORK ORDER,14
D/L REST CODE A-NO GLASSES,14
GT - Loading and Unloading passengers,14
CONTESTING SPEED,14
FAIL TO CHANGE NAME\ADDRESS ON ID CERT,14
LEAVING SCENE OF COLLISION-PARKED VEH,14
OTHER- 12-5-10 PARKING OF CERTAIN N,13
ZONING VIOL- UNAUTOHORIZED SIGN,13
Operate Motor Vehicle on Park,13
BICYCLE - FAILURE TO SIGNAL INTENT,13
WRECKER ORD-EXCEEDING 45 MINUTES,13
SMOKING ORD - SMOKING IN PUBLIC PLACE,13
AIRPORT - Circumvented screen/item introduction,13
FAIL CHANGE DRIVERS LICENSE ADDRESS,13
WRECKER ORD-FAIL CARRY REQUIRED EQUIP,13
LEAVING SCENE OF COLLISION-ATTENDED VEH,13
LOOSE MATERIALS - BED HOLES,13
PARKING - TOW AWAY COMMERCIAL SERVICE ZONE (NO MARKINGS),13
WRECKER - UNREGISTERED TOW TRUCK,13
SPEEDING-CONSTRUCTION ZONE (WORKERS),13
RED LIGHT ON FRONT,13
HEALTH ORD - FOOD IMPROPER CONDITION,13
Driver's License rest - code P (too many passengers),13
BICYCLE - OVERLOADED BIKE,13
HEALTH ORD -  NO FOOD SERVICE PERMIT,13
NO SITE PLAN - ETJ,13
GT - LIMOUSINE MINIMUM RATE,12
PARKING - WITHIN 30' OF A YIELD SIGN,12
CMV - NO SAFETY GUARDS/FLAPS,12
GT - NO OPER AUTHORITY/FRANCHISE,12
License Plate Obscured-Readability,12
"""WATERSHED: DEVELOPMENT",12
INTERFERING WITH FUNERAL PROCESSION,12
CMV-SAFE LOADING,12
SMOKING ON SCHOOL PROPERTY,12
CMV-STEERING/BALL  209(D,12
CMV-DEFECTIVE LIQUID FUEL TANK,12
"""SOLICIT BY PERSON FROM STREET",12
HAZ MAT-NO HAZ MATERIALS CERTIF 107.620,12
DEFECTIVE MUFFLER-NOISE,12
EXPIRED INSPECTION STICKER  01/09,12
TIME ZONE (UNMETERED) 5 MIN PARKING,12
GT - No Luggage Barrier,12
PARKING - BUS STOP,12
WRECKER - EXCEEDING 45 MINUTES,12
IMPROPER LOAD - UNSECURED TRAILER,11
ZONING VIOL- NO SITE PLAN,11
ZONING VIOL- NO BUILDING PERMIT,11
WRECKER - EXCESSIVE STANDARD TOW FEE,11
NO SAFETY BELT: CHILD 5 - 16 YRS.,11
DRIVER'S LIC REST- TO/FROM WORK SCHEDULE,11
PERMIT VIOLATION-OFF PERMITTED ROUTE,11
FIRE - FIRE PROTECTIVE SYSTEMS,11
CMV-SUSP/AXLE PARTS/MEMBERS,11
Zoning - RV Storage,11
POSTED SIGN - INTERSECTION,11
CURFEW  NIGHTTIME (11:30 PM -  6:00 AM) rs 08/06/08,11
Accelerating Through an Intersection,11
CMV - DEFECTIVE STEERING SYSTEM 209,11
CMV - NO HAZARD LIGHTS 393 19,11
WRECKER - FAILED TO NOTIFY APD,11
WWW - (15-10) FAIL TO MEET COMPLIANCE SCHEDULE,11
FAIL TO MAINT COM/MULT REQ H20 QUAL CNTL,11
SOLID WASTE -OBJECTIONABLE MATTER,11
WRECKER ORD-NO CITY WRECKER OPERATOR LIC,11
WRECKER - ILLEGAL TOW - OBJECTION IN 30 MINUTES,11
HEALTH ORD FOOD UNDER IMPROPER CONDITION,11
PARKING - PERMIT PARKING NON METER AREA,11
FALSE REPORT OF MISSING CHILD OR PERSON,11
DRIVERS LICENSE REST -CODE P(TOO MANY PASSENGERS),11
EXHIBITION OF ACCELERATION-rs11162009,11
ZONING - ONE TON VEHICLE,11
ZONING - FENCE HEIGHT VIOLATION,11
POSTED SIGN-NO RIGHT TURN,10
Parking case voided - comment,10
Parking - Pay Station Receipt Not Displayed (Malfunctioning Meter),10
GT-AIRPORT - BYPASS STAGING AREA,10
DRIVER LICENSE REST - BETWEEN CERTAIN HOURS,10
EXPIRED INSPECTION STICKER  06/11,10
PARKING - TOW AWAY COMM SERVICE ZONE ( NO MARKINGS ),10
MANUFACT HOME - DISREGARD PERMIT CURFEW,10
UPDATED/ALTERED BUYERS PLATE,10
ZONING - FAILED TO STABILIZE LAND,10
HAZMAT - NO SHIPPER'S CERTIFICATION 177.817(B),10
EXPIRED INSPECTION STICKER  10/09,10
ZONING - PROHIBITED HOME OCCUPATION,10
ANIMAL - DOG ENCLOSURE LESS THAN 50 FEET,10
LENDING A DISABLED PARKING PLACARD,10
EXPIRED INSPECTION STICKER  01/11,10
EXPIRED INSPECTION STICKER 08/11,10
LEAVING SCENE OF COLLISION-ATTENDED VEHICLE,10
WSA - ALLOWED NO LIFE PRESERVER - UNDER AGE 13,10
\,10
CDL - DRIVER OUT OF SERVICE,10
CRIMINAL MISCHIEF - TAMPERING,10
MOBILE BILLBOARD,10
WWW: (15-1) BPA Improper installation,10
WSA - WATER SAFETY VESSELS: LIGHTS,10
RED LIGHT IN FRONT CENTER,10
PARKING - RIGHT OF WAY,10
DOG ORDINANCE - UNREGISTERED-rs041607,10
CAB - CERTIFICATE OF REGISTRATION REQUIRED,10
CMV - WINDOW TINT,10
NO SEAT BELT- CHILD UNDER 8 (SECOND OFFENSE),10
MOTORCYCLE - TOO MANY RIDERS/PASSENGER,10
CMV - 5TH WHEEL UNSECURED,10
ANIMAL ORDINANCE - IMPROPER CARE,10
WSA - RESPONSE TO POLICE WATER SAFETY VESSEL,10
ANTIQUE/RECREATIONAL VEHICLE UNSCREENED,10
WRONG SIDE OF ROAD / HIGHWAY,10
BICYCLE - ON WRONG (LEFT) SIDE OF ROADWAY,10
THEFT B - ATTEMPTED MISDEMEANOR,10
OTHER- 12-5-10 PARKING OF CERTAIN,10
NO DRIVER LICENSE 2ND OFFENSE,10
GT - REMOVAL OF VEHICLE FROM SERVICE,10
POSTED SIGN - MUST ENTER FREEWAY,10
R.O.W. - EXCAVATION CONDITIONS,10
PARKING - EXPIRED METER-31348044,10
WRECKER - NO STATE TOW OPERATORS LICENSE,10
EXPIRED INSPECTION STICKER  03/12,10
WRECKER - NO STATE PERMIT,10
CURFEW  NIGHTTIME (11:30 PM - 6:00 AM) rs 08/06/08,10
GT - RESPONDING TO ANOTHER'S CALL,10
RAN RED LIGHT-MIDBLOCK,10
WRECKER - NOT ACCEPTING CREDIT CARDS,10
INSPECTION STICKER - EXPIRED  07/11,10
